scenario_id,val_Brier,val_minADE,val_minAHE,val_minFDE,val_minFHE,val_minMR
3d14efce-6c1b-42dd-a9c6-b661b8992023,0.9992583,2.576992,0.20319359,2.8212905,0.058541775,1
4c9517b9-6fb6-4961-b505-37775ea1527d,0.4555278,1.6193815,0.17603368,2.4091337,0.13726377,1
7c256de9-2321-4224-807b-c5a1b7cea75f,0.6632267,1.7725588,0.57148206,3.4448693,0.004043579,1
88f0d076-b621-47c8-8817-53124b5ab5ee,0.37400097,2.4517045,0.025656367,2.9593961,0.015850782,1
b8c980a0-a872-4e6e-9f88-360d8f75081a,0.61076736,1.8437971,0.05413757,4.425575,0.011934519,1
e584444e-87d7-4cd0-8fe6-d2b8d068821d,0.39980558,2.258395,0.29352963,4.1443977,1.7720535,1
00bb46d3-2f4e-4c7b-95bd-51a65ff9670e,0.92777395,1.4364312,0.12819667,4.2567163,0.06967282,1
45e4ae83-abae-4780-9429-02440e0cb2cc,0.9927392,1.9784487,0.37426096,8.64394,1.2990401,1
da7c81a0-a144-4226-96ea-5ca220fe98b7,0.9233712,2.4383056,0.161887,6.0795817,0.1101048,1
39683d37-01fa-4169-8698-c095dc13a205,0.49498627,1.1915398,0.047343228,2.8208406,0.04503417,1
f52f2a93-4d0e-4232-82b9-3ec91bac0f63,0.9630882,2.5418293,0.016260834,4.2203183,0.03813553,1
b707502c-6e81-4d96-8584-2cccf9a22c0c,0.8558449,3.1112597,0.029720945,8.7106905,0.19744372,1
201d982e-bd56-4055-8ca1-17bb23d38cd7,0.99758923,7.330355,0.20175873,13.894893,0.24160314,1
6b9a8214-0d03-47f0-82b7-18110a3289b7,0.84006155,1.4532992,0.027222363,3.9062843,0.11139774,1
8cbf15d6-c27b-4f07-bb76-e4281ba30961,0.98922986,1.8273791,0.25057796,3.3359456,0.068587065,1
b9f8e461-1e69-4d0f-92f7-0f4c4c3a8f7d,0.58738554,1.1980705,0.035885867,2.142442,0.100185394,1
0f34e046-e12f-4e47-b02e-6cdaa3af3ec4,0.7321212,3.898784,0.07139931,4.429194,0.07797241,1
58b99d52-2caa-407c-b1d0-89b5c1ac8d04,0.8939712,2.4229121,0.03624965,3.2725515,0.08283758,1
7beb2f96-a705-4934-9e84-1d21319e4ee4,0.9996061,2.9863265,0.24124868,3.560036,0.66817665,1
87f37e30-8a63-40e2-a2d0-5e1618be9e60,0.047350068,1.1812345,0.013331969,1.999487,0.013302088,0
c9e59780-b48c-46cb-9d2b-ac2ba05ab1e9,0.50922066,1.174617,0.163143,2.7339787,0.0052063465,1
614a5bd3-fd89-418a-b787-e2b2fe2b12fc,0.9997226,10.701234,0.050394233,25.6977,0.0006837845,1
